Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,SoTA,Save%,CS%,PenSave%,FK,CK,PSxG,PSxG/SoT,PSxG+/-,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp%,#OPA,AvgDist
65,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,33,1988,19,19,1710,19,1.84,5.16,66.3,15.8,0,0,0.26,1.67,0.31,-0.06,6.47,18.8,34.4,23.9,3.58,54.9,44.8,7.42,76.6,54.3,9.26,10.2,0.74,0.73
66,Ben Foster,eng ENG,GK,Watford,eng Premier League,38,1983,26,26,2340,26,1.88,4.27,58.6,15.4,25,0,0.15,1.67,0.36,-0.18,8.73,25.6,34.1,24.8,2.69,71.3,51.4,8.65,92,65.2,10.2,6,0.92,0.58
67,Christian Früchtl,de GER,GK,Bayern Munich,de Bundesliga,21,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,22.3,0,0,0,0,0,0,160
68,Marius Funk,de GER,GK,Greuther Fürth,de Bundesliga,25,1996,8,8,720,8,3.75,6.5,46.2,0,0,0,0.5,3.05,0.44,-0.45,8.75,24.1,36.3,36.6,3.5,49.5,42.1,8.63,69.6,53.8,6.38,5.9,1.5,2.13
69,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,28,1993,31,31,2790,31,1.45,4.13,71.1,25.8,0,0.03,0.26,1.3,0.26,-0.08,7,16.5,42.4,26.3,5,45.3,38.3,7.94,58.1,42.9,9.13,6.7,0.52,0.42
70,Joan García,es ESP,GK,Espanyol,es La Liga,20,2001,2,1,108,1.2,2.5,2.5,0,0,0,0,0,1,0.39,-1.5,3.33,10,33.3,25.8,7.5,32.3,31.4,1.67,100,71.5,9.17,18.2,1.67,15.5
71,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,30,1990,38,38,3420,38,1.5,4.66,69.5,21.1,50,0,0.18,1.6,0.33,0.18,3.66,9.97,36.7,16.2,3.26,37,35.2,7.82,51.2,42.4,8.05,3.3,0.24,0.36
72,Luca Gemello,it ITA,GK,Torino,it Serie A,21,2000,1,1,90,1,0,4,100,100,0,0,0,0.8,0.2,0.8,9,28,32.1,31,1,80.6,51.8,3,100,60.7,4,0,0,12
73,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,33,1987,34,34,3060,34,1.65,4.47,66.4,26.5,0,0.03,0.09,1.54,0.32,-0.04,7.68,19.3,39.8,28.1,4.15,48.8,40.5,8.38,66.3,50.6,9.06,6.5,1,0.47
74,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,27,1993,25,25,2250,25,1,2.48,66.1,40,0,0,0.16,0.92,0.33,-0.04,6.2,13.3,46.5,25.2,4.6,36.2,34.4,6.04,69.5,51.9,9.56,6.7,0.64,0.59
